名称,优先级,关闭,新建 F14,关闭 F13/鼠标后退键,前进 alt+right,下个标签Ctrl+tab,后退 Alt+left,上个标签Ctrl+shift+tab/鼠标前进键,新建窗口 F15,全屏 F11,是否启用 y/n
【压缩】360 压缩 4.0【部分支持】,,ahk_exe i)360zip.exe,^o,,,,退格,,,,
7zip 24.01,,ahk_exe i)7zFM.exe,,,,,退格,,,,
Bandizip 7.32,,ahk_class i)^BandizipClass$,^o,,,,,,,,
WinRAR 6~7,,ahk_exe i)WinRAR.exe,^o,,,,,,,,
WinZip,,ahk_class i)^WinZipWClass$,^o,,,,,,,,
好压【部分支持】,,ahk_exe i)HaoZip.exe,^o,,,,,,,,
NanaZip【部分支持】,,ahk_exe NanaZip.+exe,,,,,退格,,,,
,,,,,,,,,,,
【系统】Win 资源管理器,,ahk_exe i)explorer.exe ahk_class i)^CabinetWClass$,^t,^w,,,,,^n,,
Win 7、10 画图【部分支持】,,ahk_exe i)mspaint.exe,^n,,,,,,,,
Win 7、10 记事本,,ahk_exe notepad.exe,^n,,,,,,^+n,,
Win 11 新版记事本,,ahk_exe Notepad.exe,,^w,^Tab,,^+Tab,,^+n,,
Windows 桌面,,ahk_exe i)explorer.exe ahk_class i)^(?:Progman|WorkerW)$,,,Media_Next,Media_Next,Media_Prev,Media_Prev,^n,,
Win 10、11 设置,,^设置$ ahk_exe i)ApplicationFrameHost.exe ahk_class i)^ApplicationFrameWindow$,,,,,,!Left,,,
,,,,,,,,,,,
【浏览器】2345,,ahk_exe i)2345Explorer.exe,,^F4,,,,,^n,,
【浏览器】360 AI,,ahk_exe i)360aibrowser.exe$ ahk_class i)^360aibrowser,,^F4,,,,,^n,,
【窗口】360 极速,高,^(?:|修改书签|修改收藏|新建下载任务|下载|下载管理|添加收藏)$ ahk_exe i)360ChromeX.exe,,Esc,,,,,,,
【浏览器】360极速,,ahk_exe i)360ChromeX.exe,,^F4,,,,,^n,,
【窗口】360游戏,高,^下载$ ahk_exe i)360gt.exe,,Esc,,,,,,,
【浏览器】360游戏,,ahk_exe i)360gt.exe,,^F4,,,,,^n,,
【浏览器】360安全,,ahk_exe i)360se.exe,,^F4,,,,,^n,,
【浏览器】Arc浏览器,,ahk_exe i)Arc.exe,,^w,,,,,^n,,
【浏览器】Avast浏览器,,ahk_exe i)AvastBrowser.exe,,^F4,,,,,^n,,
【浏览器】Brave浏览器,,ahk_exe i)brave.exe,,^F4,,,,,^n,,
【浏览器】CCleaner Browser,,ahk_exe i)CCleanerBrowser.exe,,^F4,,,,,^n,,
【浏览器】Chrome & Supermium & Cent 百分&小马 ,,ahk_exe i)chrome.exe,,^F4,,,,,^n,,
【浏览器】Duck浏览器,,ahk_exe i)DuckDuckGo.exe,,^F4,,,,,^n,,
【浏览器】Edge,,ahk_exe i)msedge.exe,,^F4,,,,,^n,,
【窗口】Firefox 火狐系 窗口,高,ahk_class i)^MozillaDialogClass$,,Esc,,,,,,,
【窗口】Firefox 火狐系 我的足迹,高,我的足迹$ ahk_class i)^MozillaWindowClass$,,!F4,,,,,,,
【浏览器】Firefox 火狐系 例如 Firefox & Waterfox & Iceweasel & Tor,,ahk_class ^MozillaWindowClass$,,^F4,,,,,^n,,
【浏览器】Opera,,ahk_exe i)opera.exe,,^F4,,,,,^n,,
【浏览器】QQ浏览器,,ahk_exe i)QQBrowser.exe,,^F4,,,,,^n,,
【浏览器】UC,,ahk_exe i)UCBrowser.exe,,^F4,,,,,^n,,
【浏览器】Vivaldi,,ahk_exe i)vivaldi.exe,,^F4,,,,,^n,,
【浏览器】Yandex,,ahk_exe browser.exe ahk_class i)^YandexBrowser_WidgetWin_1$,,^F4,,,,,^n,,
【浏览器】傲游,,ahk_exe i)Maxthon.exe,,^F4,,,,,^n,,
【浏览器】华为,,ahk_exe i)HuaweiBrowser.exe,,^F4,,,,,^n,,
【窗口】联想,高,^下载管理$ ahk_exe i)SLBrowser.exe,,Esc,,,,,,,
【浏览器】联想,,ahk_exe i)SLBrowser.exe,,^F4,,,,,^n,,
【浏览器】猎豹,,^.+$ ahk_exe i)liebao.exe,,^F4,,,,,^n,,
【浏览器】猫眼,,ahk_exe i)catsxp.exe,,^F4,,,,,^n,,
【浏览器】夸克,,ahk_exe i)quark.exe,,^F4,,,,,^n,,
【浏览器】搜狗,,ahk_exe i)SogouExplorer.exe,,^w,,,,,^n,,
【浏览器】想天,,ahk_exe i)想天浏览器.exe,,^w,,^+PgDn,,,^n,,
【浏览器】微软 IE 11【已过时】,,ahk_exe i)iexplore.exe ahk_class i)^IEFrame$,,^F4,,,,,^n,,
【浏览器】115、123、飞牛、UU、多御、斑斓石、猎鹰、青鸟、双核、星愿、小K、小白、小智、一点、极速、红芯【已过时】、蚂蚁,,ahk_exe i)(?:115chrome|123browser|101browser|UUBrowser|duoyu|Colorfulstone|lybrowser|QingniaoChrome|ChromeCore|twinkstar|XKBrowser|xbaibrowser|DCBrowser|Yidian|TSBrowser|redcore|MyIE9).exe,,^F4,,,,,^n,,
,,,,,,,,,,,
淘宝桌面版,,ahk_exe 淘宝桌面版.exe,,^w,,,,,,,
,,,,,,,,,,,
【音乐类】Foobar2000,,ahk_exe i)foobar2000.exe,^o,,Media_Next,Media_Next,Media_Prev,Media_Prev,,,
iTunes,,ahk_exe i)iTunes.exe,^o,,Media_Next,Media_Next,Media_Prev,Media_Prev,,,
MusicBee,,ahk_exe i)MusicBee.exe,,,Media_Next,Media_Next,Media_Prev,Media_Prev,,,
MusicPlayer2,,ahk_exe i)MusicPlayer2.exe,^o,,^+Right,^+Right,^+Left,^+Left,,,
Winamp 5.9.2,,ahk_exe i)winamp.exe,L,,b,b,z,z,,,
洛雪音乐助手,,ahk_exe i)lx.*music,,,^Right,^Right,^Left,^Left,,,
QQ 音乐,,ahk_exe i)QQMusic.exe,,,^!Right,^!Right,^!Left,^!Left,,,
Spotify,,ahk_exe i)Spotify.exe,,,^Right,^Right,^Left,^Left,,,
方格音乐,,ahk_exe i)方格音乐.exe,,,Right,,Left,,,,
酷我音乐,,ahk_exe i)kwmusic.exe,,,^Right,^Right,^Left,^Left,,,
汽水音乐,,ahk_exe i)SodaMusic.exe,,,^Right,^Right,^Left,^Left,,,
网易云音乐,,ahk_exe i)cloudmusic.exe,,,^Right,^Right,^Left,^Left,,,
喜马拉雅,,ahk_exe i)喜马拉雅.exe,,,^],^],^[,^[,,,
酷狗音乐,,ahk_exe i)KuGou.exe,,,Media_Next,Media_Next,Media_Prev,Media_Prev,,,
sound小工具,,ahk_class MyKeymap_Sound_Control,,,f,f,s,s,,,
,,,,,,,,,,,
【视频类】GridPlayer,,ahk_exe i)GridPlayer.exe,,,Right,,Left,,,,
KMPlayer 64位,,ahk_exe i)KMPlayer64.exe,^o,,,PgDn,,PgUp,,,
MPV【部分支持】,,ahk_exe i)mpv.exe ahk_class i)mpv$,,,Right,,Left,,,,
PotPlayer 64位,,ahk_exe i)PotPlayer,F3,,Right,PgDn,Left,PgUp,,Enter,
VLC,,ahk_exe i)vlc.exe,^o,,,n,,p,,,
暴风影音 5,,ahk_exe i)StormPlayer.exe,^o,,Right,PgDn,Left,PgUp,,,
恒星播放器,,恒星播放器$ ahk_exe i)StellarPlayer.exe,,,Right,PgDn,Left,PgUp,,,
迅雷影音,,迅雷影音$ ahk_exe i)Xmp.exe,^o,,Right,PgDn,Left,PgUp,,,
影音先锋,,ahk_exe i)xfplay.exe,,,Right,PgDn,Left,PgUp,,,
荐片播放器,,ahk_exe i)jianpian.exe,,,Right,,Left,,,Enter,
Windows Media Player 12,,ahk_exe i)wmplayer.exe,^o,,^+f,^f,^+b,^b,,!Enter,
,,,,,,,,,,,
【视频类】哔哩哔哩,,ahk_exe 哔哩哔哩.exe ahk_class i)^Chrome_WidgetWin_1$,,,Right,],Left,[,,f,
爱奇艺,,ahk_exe i)QyClient.exe,,,Right,^Right,Left,,,!Enter,
优酷,,ahk_exe i)YOUKU.exe,,,Right,!Right,Left,!Left,,,
腾讯视频,,ahk_exe i)QQLive.exe,,,Right,!Right,Left,,,!f,
斗鱼直播,,ahk_exe i)DouyuLive.exe,,^w,,,,,,,
西瓜视频,,ahk_exe i)西瓜视频.exe,,,Right,,Left,,,,
抖音,,ahk_exe i)douyin.exe,,,Right,,Left,,,,
,,,,,,,,,,,
【sql】Beekeeper Studio,,ahk_exe i)Beekeeper Studio.exe,,^w,,,,,,,
Heidisql,,ahk_exe i)heidisql.exe,,^F4,,,,,,,
Navicat,,ahk_exe i)navicat.exe ahk_class i)^TnavicatMainForm,,^F4,,,,,,,
SQLyog,,ahk_exe i)SQLyog.exe,,!l,,^PgDn,,^PgUp,,,
,,,,,,,,,,,
【markdown】MarkdownPad2,,ahk_exe i)MarkdownPad2.exe,^n,^F4,,,,,,,
【标签页】MarkText,,- MarkText$ ahk_exe i)MarkText.exe,,^w,,,,,,,
【markdown】MarkText,,ahk_exe i)MarkText.exe,,,,,,,,,
Typora,,ahk_exe i)Typora.exe,^n,^w,,,,,,,
Obsidian,,ahk_exe i)Obsidian.exe,^n,^w,,,,,,,
SiYuan,,ahk_exe i)SiYuan.exe,^n,^w,,,,,,,
,,,,,,,,,,,
【editor】Bracket,,ahk_exe i)Brackets.exe,^n,^w,,^PgDn,,^PgUp,,,
CudaText,,ahk_exe i)cudatext.exe,^n,^w,,,,,,,
Editplus,,ahk_exe i)editplus.exe,^n,^w,,,,,,,
EmEditor,,ahk_exe i)EmEditor.exe,^n,^F4,,,,,,,
Everedit,,ahk_exe i)EverEdit.exe,^n,^w,,,,,,,
Fleet,,ahk_exe i)Fleet.exe,^n,^F4,,^PgDn,,^PgUp,,,
Geany,,ahk_exe i)geany.exe,^n,^w,,^PgDn,,^PgUp,,,
Kate,,ahk_exe i)kate.exe,^n ,^w,,!Right,,!Left,,,
Notepad++,,ahk_exe i)notepad\+\+.exe,^n,^w,,^PgDn,,^PgUp,,,
【窗口】NotepadNext,高,i)^(Notepad Next|About Qt - Notepad Next)$ ahk_exe i)NotepadNext.exe,,Esc,,,,,,,
【editor】NotepadNext,,ahk_exe i)NotepadNext.exe,^n,^w,,,,,,,
Notepad--,,ahk_exe i)Notepad--.exe,^n,^w,,,,,,,
Notepads,,.+ ??- Notepads$ ahk_exe ApplicationFrameHost.exe,^n,^w,,,,,,,
Notepad2,,ahk_exe i)Notepad2.exe,^n,,,,,,,,
Notepad3,,ahk_exe i)Notepad3.exe,^n,,,,,,,,
