类型 ,启动路径 ,运行名称 ,运行关键字 ,热键关键字 ,热串关键字 
,,,,,
web,https://www.baidu.com/,百度,baidu,,zbd
web,https://www.bilibili.com/,b站,bilibili,!6,zbi
web,https://www.douyin.com/,抖音,douyin,,zdy
web,https://www.ithome.com,IT之家,itzhijia,!7,zit
web,https://mail.qq.com,qq邮箱,qqyouxiang,,zma
web,https://www.ixigua.com,西瓜视频,xiguashpin,!8,zxg
,,,,,
app,winver,关于Windows,guanyuwindows,,
app,diskmgmt.msc,磁盘管理,diskmgmt.msc|cipanguanli,,
app,powercfg.cpl,电源选项,dianyuanxuanxiang|电源选项,,
app,magnify ,放大镜,fangdajing|放大镜,,
app,Firewall.cpl,Windows防火墙,fanghuoqiang ,,
app,mspaint ,画图,huatu,,
app,inetcpl.cpl,Internet属性,internetshuxing ,,
app,osk ,屏幕键盘,pingmujianpan|屏幕键盘,,
app,notepad ,记事本,notepad|jishiben|记事本,!n,
app,control,控制面板,kongzhimianban|控制面板,,
app,netstat ,显示网络状态,netstat|minglingjianchajiekou,,
app,sk.cpl ,屏幕分辨率,sk.cpl|pingmufenbianlv,,
app,hdwwiz.cpl ,设备管理器,hdwwiz.cpl|shebeiguanliqi,,
app,main.cpl ,鼠标属性,main.cpl|shubiao,,
app,eventvwr ,事件查看器,eventvwr|shijianchakanqi,,
app,mmsys.cpl ,声音属性,mmsys.cpl|shengyinshuxing,,
app,taskmgr,任务管理器,taskmgr|renwuguanliqi,,
app,explorer,资源管理器,explorer|ziyuanguanliqi,!1,
app,mstsc ,远程桌面,mstsc|yuanchengzhuomian,,
app,write,写字板,write|xieziban,,
app,yuanchenxiezhu ,远程协助,Msra|yuanchenxiezhu,,
app,wt,终端,zhongduan,!4,
,,,,,
file,D:,,,!d ,
,,,,,
text,很牛呀 ,,,,xnb 
text,你妹的 ,,,,xnm 
text,😄,微笑,,,xwx 
text,😊,脸红,,,xlh
text,👌,OK,,,xok
text,❤️,爱心,,,xax
text,📰,报纸,,,xbz
text,🏷,标签,,,xbq
text,🔖,书签,,,xsq
text,💩,大便,,,xsh
text,👻,鬼魂,,,xgh
